obsah,datum
"Dňa 19.03.2024 bol v MPK zverejnený návrh zákona, ktorým sa mení a dopĺňa zákon č. 364/2004 Z. z. o vodách a o zmene zákona Slovenskej národnej rady č. 372/1990 Zb. o...[Nelegislatívny materiál/Informácia o 45. zasadnutí Rady vlády Slovenskej republiky pre ľudské práva, národnostné menšiny a rodovú rovnosť](/?ros_monitoring_aktuality&sprava=nelegislativny-material-informacia-o-45-zasadnuti-rady-vlady-slovenskej-republiky-pre-ludske-prava-narodnostne-mensiny-a-rodovu-rovnost)",24. 03. 2024
"Dňa 13.03.2024 vláda vzala na vedomie Informácie o 45. zasadnutí Rady vlády Slovenskej republiky pre ľudské práva, národnostné menšiny a rodovú rovnosť, ktoré sa...[PI/Podrobnosti o zabezpečení radiačnej ochrany pri vykonávaní lekárskeho ožiarenia](/?ros_monitoring_aktuality&sprava=pi-podrobnosti-o-zabezpeceni-radiacnej-ochrany-pri-vykonavani-lekarskeho-oziarenia)",24. 03. 2024
"Dňa 18.03.2024 bola zverejnená predbežná informácia o návrhu vyhlášky, ktorou sa mení a dopĺňa vyhláška Ministerstva zdravotníctva Slovenskej republiky č. 101/2018 Z....[Nelegislatívny materiál/Akčný plán implementácie Cestovnej mapy a výskumných infraštruktúr na obdobie rokov 2024 – 2026 – aktualizované nové znenie](/?ros_monitoring_aktuality&sprava=nelegislativny-material-akcny-plan-implementacie-cestovnej-mapy-a-vyskumnych-infrastruktur-na-obdobie-rokov-2024-2026-aktualizovane-nove-znenie)",24. 03. 2024
"Dňa 13.03.2024 vláda schválila I. Akčný plán implementácie Cestovnej mapy výskumných infraštruktúr na obdobie rokov 2024 – 2026 (Aktualizované nové znenie),...[Nelegislatívny materiál/Návrh Štatútu Rady vlády Slovenskej republiky pre regionálny rozvoj a politiku súdržnosti Európskej únie](/?ros_monitoring_aktuality&sprava=nelegislativny-material-navrh-statutu-rady-vlady-slovenskej-republiky-pre-regionalny-rozvoj-a-politiku-sudrznosti-europskej-unie)",24. 03. 2024
"Dňa 13.03.2024 vláda schválila Štatút Rady vlády Slovenskej republiky pre regionálny rozvoj a politiku súdržnosti Európskej únie, ktorého...[Nelegislatívny materiál/Národný lesnícky program Slovenskej republiky pre obdobie rokov 2025-2030 ,,LESY PRE SPOLOČNOSŤ“](/?ros_monitoring_aktuality&sprava=nelegislativny-material-narodny-lesnicky-program-slovenskej-republiky-pre-obdobie-rokov-2025-2030-lesy-pre-spolocnost)",24. 03. 2024
"Dňa 13.03.2024 vláda schválila Národný lesnícky program Slovenskej republiky pre obdobie rokov 2025-2030 ,,LESY PRE SPOLOČNOSŤ“...[Nelegislatívny materiál/Návrh na zrušenie niektorých úloh vyplývajúcich z uznesení vlády Slovenskej republiky](/?ros_monitoring_aktuality&sprava=nelegislativny-material-navrh-na-zrusenie-niektorych-uloh-vyplyvajucich-z-uzneseni-vlady-slovenskej-republiky)",24. 03. 2024
"Dňa 13.03.2024 vláda schválila Návrh na zrušenie niektorých úloh vyplývajúcich z uznesení vlády Slovenskej republiky, ktorého cieľom je zrušiť 20 úloh,...[Nelegislatívny materiál/Vyhlásenie mimoriadnej situácie z dôvodu živelnej pohromy spôsobenej premnožením podkôrneho hmyzu a poškodením smrekových lesov v oblasti Horehronia](/?ros_monitoring_aktuality&sprava=nelegislativny-material-vyhlasenie-mimoriadnej-situacie-z-dovodu-zivelnej-pohromy-sposobenej-premnozenim-podkorneho-hmyzu-a-poskodenim-smrekovych-lesov-v-oblasti-horehronia)",24. 03. 2024
Dňa 13.03.2024 vláda schválila Návrh na schválenie všeobecného hospodárskeho záujmu na zabezpečenie bezpečnosti a pravidelnosti dodávky elektriny a plynu s cieľom...[Nelegislatívny materiál/Návrh Koncepcie strategickej komunikácie Slovenskej republiky](/?ros_monitoring_aktuality&sprava=nelegislativny-material-navrh-koncepcie-strategickej-komunikacie-slovenskej-republiky),24. 03. 2024
"Dňa 13.03.2024 vláda schválila Návrh Koncepcie strategickej komunikácie Slovenskej republiky, ktorá svojím prijatím buduje jednotný a súdržný rámec, ktorý posilní...[PI/Rovnošaty ZVJS](/?ros_monitoring_aktuality&sprava=pi-rovnosaty-zvjs)",18. 03. 2024
"Dňa 12.03.2024 bola zverejnená predbežná informácia k pripravovanej vyhláške Ministerstva spravodlivosti SR, ktorou sa mení a dopĺňa vyhláška č. 331/2016 Z. z. o podrobnostiach o služobnej rovnošate...[MPK/Zmeny v zozname omamných a psychotropných látok](/?ros_monitoring_aktuality&sprava=mpk-zmeny-v-zozname-omamnych-a-psychotropnych-latok)",18. 03. 2024
